experimento,algoritmo,tamanho,vetor_entrada,num_comparacoes,num_trocas,tempo_execucao
problema_1,BubbleSort,30000,Aleatório,449779441,226281788,1.07616
problema_1,InsertionSort,30000,Aleatório,226311773,226281788,0.31112
problema_1,SelectionSort,30000,Aleatório,449985000,29991,0.22487
problema_1,BubbleSort,30000,OrdenadoCrescente,29999,0,0.00002
problema_1,InsertionSort,30000,OrdenadoCrescente,29999,0,0.00004
problema_1,SelectionSort,30000,OrdenadoCrescente,449985000,0,0.23170
problema_1,BubbleSort,30000,OrdenadoDecrescente,449985000,449985000,0.55845
problema_1,InsertionSort,30000,OrdenadoDecrescente,449985000,449985000,0.59881
problema_1,SelectionSort,30000,OrdenadoDecrescente,449985000,15000,0.22047
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00025
problema_2,HeapSort,5000,OrdenadoCrescente,112126,60932,0.00022
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01254
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01255
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01277
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01276
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01295
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01294
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01287
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01282
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01277
problema_2,QuickSort,5000,OrdenadoCrescente,12497500,12502499,0.01266
problema_3,InsertionSort,50000,ParcialmenteOrdenado,51254,1255,0.00007
problema_3,ShellSort,50000,ParcialmenteOrdenado,701261,1255,0.00135
